# Frequency (MHz)    Transmission (dB)    Reflection (dB)
8.511380e+02    -6.073101e+00    -2.220274e+00
8.576959e+02    -6.100472e+00    -2.198988e+00
8.643043e+02    -6.127859e+00    -2.177914e+00
8.709636e+02    -6.155257e+00    -2.157053e+00
8.776742e+02    -6.182661e+00    -2.136403e+00
8.844365e+02    -6.210068e+00    -2.115966e+00
8.912509e+02    -6.237471e+00    -2.095740e+00
8.981179e+02    -6.264866e+00    -2.075727e+00
9.050377e+02    -6.292248e+00    -2.055926e+00
9.120108e+02    -6.319612e+00    -2.036337e+00
9.190377e+02    -6.346951e+00    -2.016960e+00
9.261187e+02    -6.374262e+00    -1.997795e+00
9.332543e+02    -6.401538e+00    -1.978842e+00
9.404449e+02    -6.428774e+00    -1.960101e+00
9.476908e+02    -6.455964e+00    -1.941571e+00
9.549926e+02    -6.483103e+00    -1.923253e+00
9.623506e+02    -6.510184e+00    -1.905146e+00
9.697654e+02    -6.537201e+00    -1.887251e+00
9.772372e+02    -6.564149e+00    -1.869567e+00
9.847667e+02    -6.591021e+00    -1.852093e+00
9.923541e+02    -6.617811e+00    -1.834830e+00
1.000000e+03    -6.644513e+00    -1.817778e+00
